timestamp,vesc_id,duty_cycle
1753359789.756316423,28,0.1990
1753359789.756525755,46,0.1990
1753359789.775992870,28,0.1990
1753359789.776388884,46,0.1990
1753359789.795811892,28,0.1990
1753359789.796379805,46,0.1990
1753359789.816222906,28,0.1990
1753359789.816408873,46,0.1990
1753359789.836085558,28,0.1990
1753359789.836270809,46,0.1990
1753359789.856044292,28,0.2000
1753359789.856238604,46,0.1990
1753359789.875614643,28,0.1950
1753359789.876067162,46,0.1950
1753359789.895574808,28,0.1940
1753359789.896374226,46,0.1940
1753359789.916342497,28,0.1940
1753359789.916526079,46,0.1940
1753359789.935803175,28,0.1950
1753359789.935991287,46,0.1940
1753359789.956370354,28,0.1950
1753359789.956484556,46,0.1950
1753359789.975640297,28,0.1940
1753359789.975939512,46,0.1940
1753359789.995569706,28,0.1940
1753359789.995925188,46,0.1940
1753359790.015889168,28,0.1950
1753359790.016122580,46,0.1940
1753359790.035439014,28,0.1940
1753359790.035613298,46,0.1940
1753359790.056007147,28,0.1940
1753359790.056122303,46,0.1900
1753359790.075459480,28,0.1890
1753359790.075962782,46,0.1890
1753359790.095514536,28,0.1820
1753359790.095710039,46,0.1890
1753359790.116120100,28,0.1890
1753359790.116321564,46,0.1890
1753359790.135502338,28,0.1890
1753359790.135650635,46,0.1890
1753359790.155190945,28,0.1890
1753359790.155421972,46,0.1780
1753359790.175341606,28,0.1890
1753359790.175498247,46,0.1850
1753359790.195438385,28,0.1890
1753359790.195617676,46,0.1890
1753359790.215292215,28,0.1580
1753359790.215424776,46,0.1890
1753359790.235307932,28,0.1890
1753359790.235426664,46,0.1890
1753359790.255071163,28,0.1890
1753359790.255241156,46,0.1890
1753359790.275332928,28,0.1840
1753359790.275455236,46,0.1850
1753359790.294983387,28,0.1850
1753359790.295145988,46,0.1830
1753359790.315034389,28,0.1850
1753359790.315171957,46,0.1850
1753359790.335789204,28,0.1850
1753359790.335981131,46,0.1840
1753359790.355023384,28,0.1840
1753359790.355185986,46,0.1850
1753359790.374770880,28,0.1600
1753359790.375023603,46,0.1790
1753359790.394732475,28,0.1660
1753359790.395727634,46,0.1840
1753359790.414768934,28,0.1850
1753359790.414908409,46,0.1840
1753359790.434693336,28,0.1850
1753359790.434889078,46,0.1850
1753359790.454607725,28,0.1840
1753359790.454874039,46,0.1850
1753359790.474573374,28,0.1800
1753359790.474799395,46,0.1800
1753359790.495061874,28,0.1800
1753359790.495247364,46,0.1800
1753359790.514883041,28,0.1800
1753359790.515029192,46,0.1800
1753359790.534492970,28,0.1800
1753359790.534729242,46,0.1800
1753359790.554798365,28,0.1800
1753359790.554989815,46,0.1800
1753359790.574450016,28,0.1800
1753359790.574666500,46,0.1800
1753359790.594560862,28,0.1800
1753359790.594784260,46,0.1800
1753359790.614629745,28,0.1800
1753359790.614800215,46,0.1800
1753359790.634725809,28,0.1800
1753359790.634883642,46,0.1800
1753359790.654779911,46,0.1800
1753359790.654970407,28,0.1800
1753359790.674778461,46,0.1740
1753359790.675004721,28,0.1700
1753359790.694301367,46,0.1720
1753359790.694463730,28,0.1740
1753359790.714719057,46,0.1750
1753359790.714862585,28,0.1740
1753359790.734221935,46,0.1740
1753359790.734391689,28,0.1740
1753359790.753993511,46,0.1740
1753359790.754171371,28,0.1740
1753359790.774313688,46,0.1750
1753359790.774471998,28,0.1740
1753359790.794060230,46,0.1750
1753359790.794178724,28,0.1750
1753359790.813878775,46,0.1750
1753359790.814105272,28,0.1660
1753359790.834041834,46,0.1680
1753359790.834193468,28,0.1660
1753359790.853963614,46,0.1750
1753359790.854441643,28,0.1750
1753359790.874286890,46,0.1700
1753359790.874401808,28,0.1700
1753359790.894144535,46,0.1690
1753359790.894327879,28,0.1690
1753359790.913738489,46,0.1700
1753359790.913843632,28,0.1690
1753359790.934621096,46,0.1690
1753359790.934808254,28,0.1690
1753359790.953632116,46,0.1690
1753359790.953780890,28,0.1700
1753359790.973564386,46,0.1690
1753359790.973677874,28,0.1570
1753359790.993789911,46,0.1690
1753359790.993957520,28,0.1660
1753359791.013485670,46,0.1700
1753359791.013641834,28,0.1690
1753359791.033945799,46,0.1690
1753359791.034102201,28,0.1700
1753359791.053462505,46,0.1690
1753359791.053653240,28,0.1700
1753359791.073441029,46,0.1640
1753359791.073525429,28,0.1640
1753359791.093515873,46,0.1640
1753359791.093691826,28,0.1640
1753359791.113433361,46,0.1640
1753359791.113612652,28,0.1640
1753359791.133173704,46,0.1640
1753359791.133637667,28,0.1640
1753359791.153464794,46,0.1640
1753359791.153723240,28,0.1640
1753359791.173176527,46,0.1360
1753359791.173657656,28,0.1640
1753359791.193402767,46,0.1570
1753359791.193600416,28,0.1640
1753359791.213193417,46,0.1620
1753359791.213396311,28,0.1640
1753359791.233028650,46,0.1640
1753359791.233479023,28,0.1640
1753359791.253365040,46,0.1630
1753359791.253630400,28,0.1640
1753359791.273258448,46,0.1490
1753359791.273435354,28,0.1590
1753359791.292762041,46,0.1590
1753359791.293258190,28,0.1590
1753359791.312795162,46,0.1570
1753359791.313318253,28,0.1370
1753359791.332669735,46,0.1590
1753359791.333218575,28,0.1590
1753359791.352974176,46,0.1590
1753359791.353181839,28,0.1330
1753359791.372775078,46,0.1590
1753359791.373167753,28,0.1590
1753359791.393093824,46,0.1590
1753359791.393280268,28,0.1590
1753359791.413016796,46,0.1590
1753359791.413158417,28,0.1590
1753359791.432764769,46,0.1590
1753359791.433048010,28,0.1590
1753359791.452579260,46,0.1590
1753359791.453047752,28,0.1430
1753359791.472817183,46,0.1540
1753359791.473122835,28,0.1540
1753359791.492492199,46,0.1540
1753359791.493210554,28,0.1540
1753359791.512302399,46,0.1540
1753359791.513148308,28,0.1410
1753359791.532353163,46,0.1540
1753359791.533399343,28,0.1340
1753359791.552184582,46,0.1400
1753359791.552854538,28,0.1540
1753359791.572203159,46,0.1470
1753359791.572829247,28,0.1350
1753359791.591989994,46,0.1540
1753359791.592712164,28,0.1530
1753359791.612027168,46,0.1540
1753359791.612822056,28,0.1540
1753359791.632972479,46,0.1540
1753359791.633190155,28,0.1540
1753359791.652095318,46,0.1540
1753359791.652719498,28,0.1540
1753359791.671856880,46,0.1490
1753359791.672620296,28,0.1490
1753359791.692248583,46,0.1490
1753359791.692706108,28,0.1490
1753359791.712284327,46,0.1490
1753359791.712556362,28,0.1490
1753359791.731801271,46,0.1470
1753359791.732770205,28,0.1490
1753359791.752014160,46,0.1490
1753359791.752710819,28,0.1490
1753359791.772351265,46,0.1490
1753359791.772566795,28,0.1490
1753359791.791945457,46,0.1490
1753359791.792498827,28,0.1490
1753359791.811848879,46,0.1490
1753359791.812428474,28,0.1490
1753359791.832369328,46,0.1490
1753359791.832581520,28,0.1490
1753359791.851436377,46,0.1430
1753359791.852340698,28,0.1490
1753359791.871716499,46,0.1440
1753359791.873299599,28,0.1360
